title,release_date,popularity,vote_average
Transformers: Rise of the Beasts,2023-06-07,166.143,0
Zack Snyder's Justice League,2021-03-18,149.497,8.2
Legend of the Galactic Heroes: Die Neue These - Intrigue 1,2022-09-30,157.182,6.1
Wolf Hound,2022-06-03,169.372,6.6
The Avengers,2012-04-25,151.156,7.7
Malcriados,2023-02-15,178.526,7.8
Harry Potter and the Prisoner of Azkaban,2004-05-31,154.024,8
Polar,2022-10-26,176.751,6.6
Viking Wolf,2022-11-18,163.562,5.7
The Good Dinosaur,2015-11-14,145.88,6.8
Hotel Transylvania: Transformania,2022-02-25,163.597,7.1
Abandoned,2022-06-17,149.582,6.3
The Next 365 Days,2022-08-19,159.05,6.5
Fullmetal Alchemist: The Final Alchemy,2022-06-24,154.693,6.3
Fifty Shades Freed,2018-01-17,154.48,6.7
Fifty Shades of Grey,2015-02-11,144.964,5.9
The Ledge,2022-02-18,160.141,6.6
20th Century Girl,2022-10-06,151.209,8.3
The Good Neighbor,2022-06-17,142.861,7.1
The Library Boys,2022-11-29,136.655,4.3
Luz Mala,2022-11-17,176.874,4.3
F9,2021-05-19,153.966,7.2
Uncharted,2022-02-10,149.797,7
The Little Mermaid,2023-05-24,149.855,0
Shang-Chi and the Legend of the Ten Rings,2021-09-01,140.44,7.6
Avengers: Endgame,2019-04-24,152.326,8.3
Harry Potter and the Order of the Phoenix,2007-06-28,156.765,7.7
Piggy,2022-10-07,142.701,6.6
Titanic,1997-11-18,140.29,7.9
Harry Potter and the Deathly Hallows: Part 2,2011-07-07,141.513,8.1
The Last Client,2022-06-20,148.698,7.7
Blood,2023-01-12,149.291,5.9
The Infernal Machine,2022-09-23,152.569,6.7
Interstellar,2014-11-05,137.527,8.4
Berlin Drifters,2017-09-10,201.097,6
Malvada,2022-12-29,141.563,7.4
Samaritan,2022-08-25,138.182,6.8
Eternals,2021-11-03,137.64,7
Athena,2022-09-09,151.293,6.7
The Exorcism of God,2022-03-11,139.361,7.2
Six Swedish Girls in a Boarding School,1979-09-28,124.944,5.4
Operation Fortune: Ruse de Guerre,2023-01-04,118.027,6.7
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,2022-11-25,122.372,6.9
Hocus Pocus 2,2022-09-27,136.319,7.4
"Tad, the Lost Explorer and the Emerald Tablet",2022-08-24,136.774,7.6
Project Wolf Hunting,2022-09-21,150.266,6.5
Shrek 2,2004-05-19,130.095,7.2
Memory,2022-04-28,128.926,7
Scream,1996-12-20,131.111,7.4
Tom and Jerry Snowman's Land,2022-09-06,140.27,6.8
On the Line,2022-10-31,132.897,6.2
The Black Phone,2022-06-22,154.573,7.8
"Monsters, Inc.",2001-11-01,137.746,7.8
Housewife Sex Slaves: Hatano Yui,2017-07-07,150.004,0
The Last: Naruto the Movie,2014-12-06,144.287,7.8
The Invitation,2022-08-24,133.856,6.4
The Minute You Wake Up Dead,2022-11-04,136.518,5.8
Secret Headquarters,2022-08-12,129.561,6.8
Coco,2017-10-27,140.983,8.2
MexZombies,2022-10-26,138.041,7.1
Triangle of Sadness,2022-09-18,134.073,7.2
Morbius,2022-03-30,133.412,6.2
Three Sexy Meals,2016-11-09,137.485,2.5
Paradise City,2022-11-11,132.54,5.9
Boruto: Naruto the Movie,2015-08-07,122.818,7.6
Godzilla vs. Kong,2021-03-24,135.553,7.7
Orphan: First Kill,2022-07-27,136.932,6.8
Tangled,2010-11-24,140.462,7.6
Moonfall,2022-02-03,134.577,6.4
xXx: Return of Xander Cage,2017-01-13,93.47,6.1
Emily the Criminal,2022-08-12,136.461,6.8
The Menu,2022-11-17,112.618,7.2
The Girl from the Other Side,2022-03-10,132.22,6.8
